Time,PDR
5,87.4468
15,87.4468
25,87.4468
35,87.4468
45,87.4468
55,87.4468
65,87.4468
75,87.4468
85,87.4468
95,87.4468
105,87.4468
115,87.4468
125,87.4468
135,87.4468
145,87.4468
155,87.4468
165,87.4468
175,87.4468
185,87.4468
195,87.4468
205,87.4468
215,87.4468
225,87.4468
235,87.4468
245,87.4468
255,87.4468
265,87.4468
275,87.4468
285,87.4468
295,87.4468
305,87.4468
315,87.4468
325,87.4468
335,87.4468
345,87.4468
355,87.4468
365,87.4468
375,87.4468
385,87.4468
395,87.4468
405,87.4468
415,87.4468
425,87.4468
435,87.4468
445,87.4468
455,87.4468
465,87.4468
475,87.4468
485,87.4468
495,87.4468
505,87.4468
515,87.4468
525,87.4468
535,87.4468
545,87.4468
555,87.4468
565,87.4468
575,87.4468
585,87.4468
595,87.4468
605,87.4468
615,87.4468
625,87.4468
635,87.4468
645,87.4468
655,87.4468
665,87.4468
675,87.4468
685,87.4468
695,87.4468
705,87.4468
715,87.4468
725,87.4468
735,87.4468
745,87.4468
755,87.4468
765,87.4468
775,87.4468
785,87.4468
795,87.4468
805,87.4468
815,87.4468
825,87.4468
835,87.4468
845,87.4468
