Time,Throughput
5,336691
10,336691
15,336691
20,336691
25,336691
30,336691
35,336691
40,336691
45,336691
50,336691
55,336691
60,336691
65,336691
70,336691
75,336691
80,336691
85,336691
90,336691
95,336691
100,336691
105,336691
110,336691
115,336691
120,336691
125,336691
130,336691
135,336691
140,336691
145,336691
150,336691
155,336691
160,336691
165,336691
170,336691
175,336691
180,336691
185,336691
190,336691
195,336691
200,336691
205,336691
210,336691
215,336691
220,336691
225,336691
230,336691
235,336691
240,336691
245,336691
250,336691
255,336691
260,336691
265,336691
270,336691
275,336691
280,336691
285,336691
290,336691
295,336691
300,336691
305,336691
310,336691
315,336691
320,336691
325,336691
330,336691
335,336691
340,336691
345,336691
350,336691
355,336691
360,336691
365,336691
370,336691
375,336691
380,336691
385,336691
390,336691
395,336691
400,336691
405,336691
410,336691
415,336691
420,336691
425,336691
430,336691
435,336691
440,336691
445,336691
450,336691
455,336691
460,336691
465,336691
470,336691
475,336691
480,336691
485,336691
490,336691
495,336691
500,336691
505,336691
510,336691
515,336691
520,336691
525,336691
530,336691
535,336691
540,336691
545,336691
550,336691
555,336691
560,336691
565,336691
570,336691
575,336691
580,336691
585,336691
590,336691
595,336691
600,336691
605,336691
610,336691
615,336691
620,336691
625,336691
630,336691
635,336691
640,336691
645,336691
650,336691
655,336691
660,336691
665,336691
670,336691
675,336691
680,336691
685,336691
690,336691
695,336691
700,336691
705,336691
710,336691
715,336691
720,336691
725,336691
730,336691
735,336691
740,336691
745,336691
750,336691
755,336691
760,336691
765,336691
770,336691
775,336691
780,336691
785,336691
790,336691
795,336691
800,336691
805,336691
810,336691
815,336691
820,336691
825,336691
830,336691
835,336691
840,336691
845,336691
