Time,Accuracy
5,93.617
10,93.617
15,93.617
20,93.617
25,93.617
30,93.617
35,93.617
40,93.617
45,93.617
50,93.617
55,93.617
60,93.617
65,100
70,100
75,100
80,100
85,100
90,100
95,100
100,100
105,100
110,100
115,100
120,100
125,100
130,100
135,100
140,100
145,100
150,100
155,100
160,100
165,100
170,100
175,100
180,100
185,100
190,100
195,100
200,100
205,100
210,100
215,100
220,100
225,100
230,100
235,100
240,100
245,100
250,100
255,100
260,100
265,100
270,100
275,100
280,100
285,100
290,100
295,100
300,100
305,100
310,100
315,100
320,100
325,100
330,100
335,100
340,100
345,100
350,100
355,100
360,100
365,100
370,100
375,100
380,100
385,100
390,100
395,100
400,100
405,100
410,100
415,100
420,100
425,100
430,100
435,100
440,100
445,100
450,100
455,100
460,100
465,100
470,100
475,100
480,100
485,100
490,100
495,100
500,100
505,100
510,100
515,100
520,100
525,100
530,100
535,100
540,100
545,100
550,100
555,100
560,100
565,100
570,100
575,100
580,100
585,100
590,100
595,100
600,100
605,100
610,100
615,100
620,100
625,100
630,100
635,100
640,100
645,100
650,100
655,100
660,100
665,100
670,100
675,100
680,100
685,100
690,100
695,100
700,100
705,100
710,100
715,100
720,100
725,100
730,100
735,100
740,100
745,100
750,100
755,100
760,100
765,100
770,100
775,100
780,100
785,100
790,100
795,100
800,100
805,100
810,100
815,100
820,100
825,100
830,100
835,100
840,100
845,100
